ObjNAME,ObjTYPE,Path,ObjREFERENCE,ObjREFERENCEtype
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/139144-->/ASBH-8""-GPS-442002-ED1-P/B01",/ASBHA-XCV-382008,SCINST
/ASBHA-P-4002,SCEQUI,"/ASBHA-P-4002/N1-->/ASBHA-P-4002/N1-->/ASBH-6""-DPS-400409-BX1/B01-->=1073763642/180128-->/ASBH-6""-DPS-400407-BX1/B01-->/ASBHA-P-4001/N1-->/ASBHA-P-4001-->/ASBHA-PT-400105",/ASBHA-SIG-S-PT-400105-1,SCOINS
/ASBHA-FIL-3518,SCEQUI,"/ASBHA-FIL-3518/N1-->/ASBHA-FIL-3518/N1-->/ASBH-14""-CY-355120-AR1/B01-->=1073763642/118949-->/ASBH-14""-CY-355119-AR1/B01-->/ASBHA-T-3503/N2-->/ASBHA-T-3503-->/ASBHA-T-3503/N3-->/ASBH-3""-CY-355116-AR1/B01-->=1073763642/119255-->/ASBH-14""-CY-355015-AR1/B01",/ASBHA-XCV-353016,SCINST
/ASBHA-EP-3837,SCEQUI,"/ASBHA-EP-3837/N9-->/ASBHA-EP-3837/N9-->/ASBH-4""-GPS-383703-AD4/B01-->=1073763642/11496-->/ASBH-8""-GPS-383701-AD4/B01-->=1073763642/13034-->/ASBH-12""-GPS-343702-AD4/B01-->=1073763642/13383-->/ASBH-34""-GPS-340106-AD4/B01-->/ASBHA-SDV-341221-->/ASBHA-ZT-341221",/ASBHA-SIG-S-ZT-341221-1,SCOINS
/ASBHA-EP-3801,SCEQUI,"/ASBHA-EP-3801/N9-->/ASBHA-EP-3801/N9-->/ASBH-2""-OCS-380103-BD1/B01-->=1073763642/16764-->/ASBH-4""-OCS-380101-BD1/B01-->=1073780026/30257-->/ASBH-10""-OCS-340102-BD1/B01-->=1073763642/138227-->/ASBH-26""-OCS-340039-BD1/B01-->=1073763642/169171-->/ASBH-16""-OCS-340014-BD1/B01",/ASBHA-FCV-341103,SCINST
/ASBHA-P-3501,SCEQUI,"=1073788218/20705-->=1073788218/20705-->/ASBH-3""-WI-355051-FD1/B01-->=1073788218/20676-->/ASBH-0.5""-WI-355049-FD1/B01",/ASBHA-FO-350007,SCINST
/ASBHA-FIL-1004,SCEQUI,"=1073780026/20400-->=1073780026/20400-->/ASBH-1""-WS-101058-AR1/B01-->=1073780026/20596-->/=1073780026/20589/B01",/ASBHA-FI-100002,SCINST
/ASBHA-T-1001,SCEQUI,"/ASBHA-T-1001/N6-->/ASBHA-T-1001/N6-->/ASBH-2""-WP-100007-AR1/B01-->=1073763642/73466-->/ASBH-2""-WP-100005-AR1/B01-->=1073763642/73605-->/ASBH-2""-WP-100008-AR1/B01",/ASBHA-PCV-101002,SCINST
/ASBHA-T-1001,SCEQUI,"/ASBHA-T-1001/N6-->/ASBHA-T-1001/N6-->/ASBH-2""-WP-100007-AR1/B01-->=1073763642/73466-->/ASBH-2""-WP-100005-AR1/B01-->=1073763642/73605-->/ASBH-2""-WP-100008-AR1/B01-->=1073763642/74053-->/ASBH-2""-WP-101003-AR1/B01-->=1073763642/87840-->/ASBH-2""-WP-100025-AR1/B01",/ASBHA-PCV-101001,SCINST
/ASBHA-P-5004,SCEQUI,"/ASBHA-P-5004/N1-->/ASBHA-P-5004/N1-->/ASBH-4""-DPS-500164-AX2/B01-->=1073763642/106088-->/ASBH-4""-DPS-500162-AX2/B01-->=1073763642/56674-->/ASBH-4""-DPS-500163-AX2/B01-->/ASBHA-P-5003/N1-->/ASBHA-P-5003",/ASBHA-PT-500305,SCOINS
/ASBHA-EP-3809,SCEQUI,"/ASBHA-EP-3809/N9-->/ASBHA-EP-3809/N9-->/ASBH-4""-GPS-380903-AD4/B01-->=1073763642/8353-->/ASBH-6""-GPS-380901-AD4/B01-->=1073763642/13084-->/ASBH-10""-GPS-340902-AD4/B01-->=1073763642/13377-->/ASBH-34""-GPS-340106-AD4/B01-->/ASBHA-SDV-341221-->/ASBHA-ZT-341221",/ASBHA-SIG-S-ZT-341221-1,SCOINS
/ASBHA-EP-3811,SCEQUI,"/ASBHA-EP-3811/N11-->/ASBHA-EP-3811/N11-->/ASBH-4""-GPS-381103-AD4/B01-->=1073763642/9945-->/ASBH-8""-GPS-381101-AD4/B01-->=1073763642/13240-->/ASBH-14""-GPS-341102-AD4/B01",/ASBHA-PCV-340211,SCINST
/ASBHA-EP-3810,SCEQUI,"/ASBHA-EP-3810/N2-->/ASBHA-EP-3810/N2-->/ASBH-20""-GPS-381004-AD5/B01",/ASBHA-ESDV-381052,SCINST
/ASBHA-EP-3810,SCEQUI,"/ASBHA-EP-3810/N9-->/ASBHA-EP-3810/N9-->/ASBH-4""-GPS-381003-AD4/B01-->=1073763642/9153-->/ASBH-8""-GPS-381001-AD4/B01-->=1073763642/13196-->/ASBH-16""-GPS-341002-AD4/B01",/ASBHA-XCV-381008,SCINST
/ASBHA-EP-3810,SCEQUI,"/ASBHA-EP-3810/N2-->/ASBHA-EP-3810/N2-->/ASBH-20""-GPS-381004-AD5/B01",/ASBHA-XCV-381001,SCINST
/ASBHA-EP-3839,SCEQUI,"/ASBHA-EP-3839/N3-->/ASBHA-EP-3839/N3-->/ASBH-4""-GPS-383901-ED1-P/B01-->=1073763642/24767-->/ASBH-6""-GPS-443902-ED1-P/B01-->=1073788218/15423-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/148062-->/ASBH-10""-GPS-440003-ED1-P/B01-->/ASBHA-ESDV-440021",/ASBHA-ZT-440021,SCOINS
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073788218/15423-->/ASBH-6""-GPS-443902-ED1-P/B01",/ASBHA-FE-443901,SCINST
/ASBHA-EP-3839,SCEQUI,"/ASBHA-EP-3839/N3-->/ASBHA-EP-3839/N3-->/ASBH-4""-GPS-383901-ED1-P/B01-->=1073763642/24767-->/ASBH-6""-GPS-443902-ED1-P/B01-->=1073788218/15423-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/139144-->/ASBH-8""-GPS-442002-ED1-P/B01",/ASBHA-XCV-382008,SCINST
/ASBHA-EP-3839,SCEQUI,"/ASBHA-EP-3839/N3-->/ASBHA-EP-3839/N3-->/ASBH-4""-GPS-383901-ED1-P/B01-->=1073763642/24767-->/ASBH-6""-GPS-443902-ED1-P/B01",/ASBHA-XCV-383908,SCINST
/ASBHA-P-5003,SCEQUI,"/ASBHA-P-5003/N1-->/ASBHA-P-5003/N1-->/ASBH-4""-DPS-500163-AX2/B01-->=1073763642/56674-->/ASBH-4""-DPS-500162-AX2/B01-->=1073763642/106088-->/ASBH-4""-DPS-500164-AX2/B01-->/ASBHA-P-5004/N1-->/ASBHA-P-5004",/ASBHA-PT-500405,SCOINS
/ASBHA-T-5001,SCEQUI,"/ASBHA-T-5001/N6-->/ASBHA-T-5001/N6-->/ASBH-2""-GI-080007-AD1/B01-->=1073763642/72359-->/ASBH-2""-GI-080005-AD1/B01-->=1073763642/72363-->/ASBH-2""-GI-080009-AD1/B01-->=1073763642/45088-->/ASBH-2""-GI-080021-AS1/B01",/ASBHA-RO-080052,SCINST
/ASBHA-EP-3824,SCEQUI,"/ASBHA-EP-3824/N3-->/ASBHA-EP-3824/N3-->/ASBH-4""-GPS-382401-FD1/B01-->=1073763642/32233-->/ASBH-8""-GPS-450016-FD1/B01",/ASBHA-FE-452401,SCINST
/ASBHA-V-5416,SCEQUI,/ASBHA-V-5416/N6-->/ASBHA-V-5416/N6,/ASBHA-PI-541601,SCOINS
/ASBHA-EP-3826,SCEQUI,"/ASBHA-EP-3826/N3-->/ASBHA-EP-3826/N3-->/ASBH-4""-GPS-382601-FD1/B01-->=1073763642/32010-->/ASBH-8""-GPS-452601-FD1/B01",/ASBHA-XCV-382608,SCINST
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073788218/15430-->/ASBH-6""-GPS-441702-ED1-P/B01",/ASBHA-XCV-381708,SCINST
/ASBHA-EP-3837,SCEQUI,"/ASBHA-EP-3837/N9-->/ASBHA-EP-3837/N9-->/ASBH-4""-GPS-383703-AD4/B01-->=1073763642/11496-->/ASBH-8""-GPS-383701-AD4/B01-->=1073763642/13034-->/ASBH-12""-GPS-343702-AD4/B01-->=1073763642/13383-->/ASBH-34""-GPS-340106-AD4/B01-->/ASBHA-SDV-341221",/ASBHA-ZT-341221,SCOINS
/ASBHA-T-3501,SCEQUI,"=1073763642/111943-->=1073763642/111943-->/ASBH-2""-WI-355062-FD1/B01-->=1073788218/20661-->/ASBH-3""-WI-355038-FD1/B01-->=1073788218/20701-->/ASBHA-P-3501-->=1073788218/20705-->/ASBH-3""-WI-355051-FD1/B01-->=1073788218/20676-->/ASBH-0.5""-WI-355049-FD1/B01",/ASBHA-FO-350007,SCINST
/ASBHA-P-3411,SCEQUI,"/ASBHA-P-3411/N1-->/ASBHA-P-3411/N1-->/ASBH-20""-OCS-340004-BD1/B01-->=1073771834/25434-->/ASBH-20""-OCS-340026-BD1/B01-->/ASBHA-P-3412/N1-->/ASBHA-P-3412",/ASBHA-TE-341211A,SCOINS
/ASBHA-EP-3818,SCEQUI,"/ASBHA-EP-3818/N3-->/ASBHA-EP-3818/N3-->/ASBH-2""-GPS-381801-ED1-P/B01-->=1073771834/69572-->/ASBH-2""-GPS-384027-ED1/B01-->=1073771834/69578-->/ASBH-6""-GPS-441802-ED1-P/B01",/ASBHA-XCV-381808,SCINST
/ASBHA-T-5001,SCEQUI,"/ASBHA-T-5001/N6-->/ASBHA-T-5001/N6-->/ASBH-2""-GI-080007-AD1/B01-->=1073763642/72359-->/ASBH-2""-GI-080005-AD1/B01-->=1073763642/72361-->/ASBH-2""-GI-080008-AD1/B01",/ASBHA-FT-080541,SCINST
/ASBHA-EP-3810,SCEQUI,"/ASBHA-EP-3810/N9-->/ASBHA-EP-3810/N9-->/ASBH-4""-GPS-381003-AD4/B01-->=1073763642/9153-->/ASBH-8""-GPS-381001-AD4/B01-->=1073763642/13196-->/ASBH-16""-GPS-341002-AD4/B01-->=1073763642/13389-->/ASBH-34""-GPS-340106-AD4/B01-->/ASBHA-SDV-341221-->/ASBHA-ZT-341221",/ASBHA-SIG-S-ZT-341221-1,SCOINS
/ASBHA-EP-3810,SCEQUI,"/ASBHA-EP-3810/N2-->/ASBHA-EP-3810/N2-->/ASBH-20""-GPS-381004-AD5/B01-->/ASBHA-ESDV-381052-->/ASBHA-ZT-381052-->/ASBHA-SIG-S-ZT-381052-1",/ASBHA-ZI-381052,SCOINS
/ASBHA-P-5003,SCEQUI,"/ASBHA-P-5003/N1-->/ASBHA-P-5003/N1-->/ASBH-4""-DPS-500163-AX2/B01-->=1073763642/56674-->/ASBH-4""-DPS-500162-AX2/B01-->/ASBHA-SDV-500207",/ASBHA-ZS-500207,SCOINS
/ASBHA-T-5001,SCEQUI,"/ASBHA-T-5001/N6-->/ASBHA-T-5001/N6-->/ASBH-2""-GI-080007-AD1/B01-->=1073763642/72359-->/ASBH-2""-GI-080005-AD1/B01-->=1073763642/72363-->/ASBH-2""-GI-080009-AD1/B01-->=1073763642/45088-->/ASBH-2""-GI-080021-AS1/B01-->=1073763642/44989-->/ASBH-2""-GFS-570026-AS1/B01",/ASBHA-FT-570042,SCINST
/ASBHA-EP-3837,SCEQUI,"/ASBHA-EP-3837/N9-->/ASBHA-EP-3837/N9-->/ASBH-4""-GPS-383703-AD4/B01-->=1073763642/11496-->/ASBH-8""-GPS-383701-AD4/B01-->=1073763642/13034-->/ASBH-12""-GPS-343702-AD4/B01",/ASBHA-PCV-340237,SCINST
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073788218/15423-->/ASBH-6""-GPS-443902-ED1-P/B01",/ASBHA-XCV-383908,SCINST
/ASBHA-V-5002,SCEQUI,"/ASBHA-V-5002/N9-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500187-AX1/B01-->=1073763642/57589-->/ASBH-3""-DPS-500166-AX1/B01-->/ASBHA-P-5004/N2-->/ASBHA-P-5004",/ASBHA-PT-500405,SCOINS
/ASBHA-EP-3811,SCEQUI,"/ASBHA-EP-3811/N11-->/ASBHA-EP-3811/N11-->/ASBH-4""-GPS-381103-AD4/B01-->=1073763642/9945-->/ASBH-8""-GPS-381101-AD4/B01-->=1073763642/13240-->/ASBH-14""-GPS-341102-AD4/B01-->=1073763642/13391-->/ASBH-34""-GPS-340106-AD4/B01-->/ASBHA-SDV-341221-->/ASBHA-ZT-341221",/ASBHA-SIG-S-ZT-341221-1,SCOINS
/ASBHA-EP-3839,SCEQUI,"/ASBHA-EP-3839/N3-->/ASBHA-EP-3839/N3-->/ASBH-4""-GPS-383901-ED1-P/B01-->=1073763642/24767-->/ASBH-6""-GPS-443902-ED1-P/B01-->=1073788218/15423-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/148062-->/ASBH-10""-GPS-440003-ED1-P/B01",/ASBHA-PCV-440011,SCINST
/ASBHA-P-5004,SCEQUI,"/ASBHA-P-5004/N1-->/ASBHA-P-5004/N1-->/ASBH-4""-DPS-500164-AX2/B01-->=1073763642/106088-->/ASBH-4""-DPS-500162-AX2/B01-->/ASBHA-V-5002/N11-->/ASBHA-V-5002-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500186-AX1/B01",/ASBHA-RO-500351,SCINST
/ASBHA-P-5004,SCEQUI,"/ASBHA-P-5004/N1-->/ASBHA-P-5004/N1-->/ASBH-4""-DPS-500164-AX2/B01-->=1073763642/106088-->/ASBH-4""-DPS-500162-AX2/B01-->/ASBHA-SDV-500207-->/ASBHA-ZS-500207",/ASBHA-SIG-S-ZS-500207-1,SCOINS
/ASBHA-EP-3812,SCEQUI,"/ASBHA-EP-3812/N9-->/ASBHA-EP-3812/N9-->/ASBH-4""-GPS-381203-AD4/B01-->=1073763642/10714-->/ASBH-8""-GPS-381201-AD4/B01-->=1073763642/12938-->/ASBH-14""-GPS-341202-AD4/B01-->=1073796410/5488-->/ASBH-34""-GPS-340106-AD4/B01-->/ASBHA-SDV-341221",/ASBHA-ZT-341221,SCOINS
/ASBHA-T-5001,SCEQUI,"/ASBHA-T-5001/N6-->/ASBHA-T-5001/N6-->/ASBH-2""-GI-080007-AD1/B01-->=1073763642/72359-->/ASBH-2""-GI-080005-AD1/B01-->=1073763642/72363-->/ASBH-2""-GI-080009-AD1/B01",/ASBHA-RO-080051,SCINST
/ASBHA-EP-3839,SCEQUI,"/ASBHA-EP-3839/N3-->/ASBHA-EP-3839/N3-->/ASBH-4""-GPS-383901-ED1-P/B01-->=1073763642/24767-->/ASBH-6""-GPS-443902-ED1-P/B01-->=1073788218/15423-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/98412-->/ASBH-8""-GPS-442102-ED1-P/B01",/ASBHA-XCV-382108,SCINST
/ASBHA-T-5001,SCEQUI,"/ASBHA-T-5001/N6-->/ASBHA-T-5001/N6-->/ASBH-2""-GI-080007-AD1/B01-->=1073763642/72359-->/ASBH-2""-GI-080005-AD1/B01-->=1073763642/72363-->/ASBH-2""-GI-080009-AD1/B01-->=1073763642/45088-->/ASBH-2""-GI-080019-AD1/B01-->=1073763642/45186-->/ASBH-2""-FHS-570029-AD1/B01",/ASBHA-FT-570041,SCINST
/ASBHA-EP-3811,SCEQUI,"/ASBHA-EP-3811/N11-->/ASBHA-EP-3811/N11-->/ASBH-4""-GPS-381103-AD4/B01-->=1073763642/9945-->/ASBH-8""-GPS-381101-AD4/B01-->=1073763642/13240-->/ASBH-14""-GPS-341102-AD4/B01-->=1073763642/13391-->/ASBH-34""-GPS-340106-AD4/B01",/ASBHA-SDV-341221,SCINST
/ASBHA-P-5002,SCEQUI,"/ASBHA-P-5002/N1-->/ASBHA-P-5002/N1-->/ASBH-3""-DO-500406-AR1/B01-->=1073763642/59744-->/ASBH-3""-DO-500405-AR1/B01-->/ASBHA-T-5001/N2-->/ASBHA-T-5001-->/ASBHA-T-5001/N6-->/ASBH-2""-GI-080007-AD1/B01",/ASBHA-FT-080001,SCINST
/ASBHA-FIL-3518,SCEQUI,"/ASBHA-FIL-3518/N1-->/ASBHA-FIL-3518/N1-->/ASBH-14""-CY-355120-AR1/B01-->=1073763642/118949-->/ASBH-14""-CY-355119-AR1/B01-->/ASBHA-T-3503/N2-->/ASBHA-T-3503-->/ASBHA-T-3503/N3-->/ASBH-3""-CY-355116-AR1/B01",/ASBHA-XCV-353015,SCINST
/ASBHA-P-5003,SCEQUI,"/ASBHA-P-5003/N1-->/ASBHA-P-5003/N1-->/ASBH-4""-DPS-500163-AX2/B01-->=1073763642/56674-->/ASBH-4""-DPS-500162-AX2/B01-->/ASBHA-V-5002/N11-->/ASBHA-V-5002-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500187-AX1/B01",/ASBHA-RO-500451,SCINST
/ASBHA-EP-3824,SCEQUI,"/ASBHA-EP-3824/N3-->/ASBHA-EP-3824/N3-->/ASBH-4""-GPS-382401-FD1/B01-->=1073763642/32233-->/ASBH-8""-GPS-450016-FD1/B01",/ASBHA-XCV-382408,SCINST
/ASBHA-EP-3818,SCEQUI,"/ASBHA-EP-3818/N3-->/ASBHA-EP-3818/N3-->/ASBH-2""-GPS-381801-ED1-P/B01-->=1073771834/69572-->/ASBH-2""-GPS-384027-ED1/B01-->=1073771834/69578-->/ASBH-6""-GPS-441802-ED1-P/B01",/ASBHA--44,SCINST
/ASBHA-EP-3837,SCEQUI,"/ASBHA-EP-3837/N9-->/ASBHA-EP-3837/N9-->/ASBH-4""-GPS-383703-AD4/B01-->=1073763642/11496-->/ASBH-8""-GPS-383701-AD4/B01-->=1073763642/13034-->/ASBH-12""-GPS-343702-AD4/B01-->=1073763642/13383-->/ASBH-34""-GPS-340106-AD4/B01",/ASBHA-SDV-341221,SCINST
/ASBHA-T-3501,SCEQUI,"=1073763642/111943-->=1073763642/111943-->/ASBH-2""-WI-355062-FD1/B01-->=1073788218/20661-->/ASBH-3""-WI-355038-FD1/B01-->=1073788218/20701-->/ASBHA-P-3501-->=1073788218/20705-->/ASBH-3""-WI-355051-FD1/B01",/ASBHA-FO-350006,SCINST
/ASBHA-EP-3801,SCEQUI,"/ASBHA-EP-3801/N9-->/ASBHA-EP-3801/N9-->/ASBH-2""-OCS-380103-BD1/B01-->=1073763642/16764-->/ASBH-4""-OCS-380101-BD1/B01-->=1073780026/30257-->/ASBH-10""-OCS-340102-BD1/B01-->=1073763642/138227-->/ASBH-26""-OCS-340039-BD1/B01-->=1073763642/169171-->/ASBH-16""-OCS-340014-BD1/B01",/ASBHA--34,SCINST
/ASBHA-T-3909,SCEQUI,"/ASBHA-T-3909/N6-->/ASBHA-T-3909/N6-->/ASBH-2""-CY-392153-AS1/B03-->=1073763642/124128-->/ASBH-2""-CY-392127-AS1/B01",/ASBHA-FI-393001,SCINST
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/148062-->/ASBH-10""-GPS-440003-ED1-P/B01-->/ASBHA-ESDV-440021",/ASBHA-ZT-440021,SCOINS
/ASBHA-EP-3812,SCEQUI,"/ASBHA-EP-3812/N9-->/ASBHA-EP-3812/N9-->/ASBH-4""-GPS-381203-AD4/B01-->=1073763642/10714-->/ASBH-8""-GPS-381201-AD4/B01-->=1073763642/12938-->/ASBH-14""-GPS-341202-AD4/B01-->=1073796410/5488-->/ASBH-34""-GPS-340106-AD4/B01-->/ASBHA-SDV-341221-->/ASBHA-ZT-341221",/ASBHA-SIG-S-ZT-341221-1,SCOINS
/ASBHA-P-5002,SCEQUI,"/ASBHA-P-5002/N1-->/ASBHA-P-5002/N1-->/ASBH-3""-DO-500406-AR1/B01-->=1073763642/59744-->/ASBH-3""-DO-500405-AR1/B01-->/ASBHA-P-5001/N1-->/ASBHA-P-5001",/ASBHA-PT-500105,SCOINS
/ASBHA-EP-3824,SCEQUI,"/ASBHA-EP-3824/N3-->/ASBHA-EP-3824/N3-->/ASBH-4""-GPS-382401-FD1/B01-->=1073763642/32233-->/ASBH-8""-GPS-450016-FD1/B01-->/ASBHA-FE-452401",/ASBHA-FT-452401,SCOINS
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/139144-->/ASBH-8""-GPS-442002-ED1-P/B01",/ASBHA-FE-442001,SCINST
/ASBHA-T-1001,SCEQUI,"/ASBHA-T-1001/N6-->/ASBHA-T-1001/N6-->/ASBH-2""-WP-100007-AR1/B01-->=1073763642/73466-->/ASBH-2""-WP-100005-AR1/B01",/ASBHA-RO-100151,SCINST
/ASBHA-P-3413,SCEQUI,"/ASBHA-P-3413/N1-->/ASBHA-P-3413/N1-->/ASBH-4""-OCS-340044-BD1/B01-->=1073763642/15553-->/ASBH-4""-OCS-340141-BD1/B01-->/ASBHA-P-3414/N1-->/ASBHA-P-3414",/ASBHA-PT-341421,SCOINS
/ASBHA-EP-3809,SCEQUI,"/ASBHA-EP-3809/N9-->/ASBHA-EP-3809/N9-->/ASBH-4""-GPS-380903-AD4/B01-->=1073763642/8353-->/ASBH-6""-GPS-380901-AD4/B01-->=1073763642/13084-->/ASBH-10""-GPS-340902-AD4/B01",/ASBHA-PCV-340209,SCINST
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073788218/14834-->/ASBH-6""-GPS-441902-ED1-P/B01",/ASBHA-XCV-381908,SCINST
/ASBHA-V-5002,SCEQUI,"/ASBHA-V-5002/N9-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500186-AX1/B01-->=1073763642/46323-->/ASBH-3""-DPS-500165-AX1/B01-->/ASBHA-V-4001/N3-->/ASBHA-V-4001",/ASBHA-SIG-S-LT-400102-1,SCOINS
/ASBHA-EP-3812,SCEQUI,"/ASBHA-EP-3812/N9-->/ASBHA-EP-3812/N9-->/ASBH-4""-GPS-381203-AD4/B01-->=1073763642/10714-->/ASBH-8""-GPS-381201-AD4/B01-->=1073763642/12938-->/ASBH-14""-GPS-341202-AD4/B01",/ASBHA-PCV-340212,SCINST
